scenario_id,RI,algorithm_id,failure_reason,replan_count,success,travel_time,hazard_exposure,hazard_score,steps,distance,runtime
la_trinidad_mini_000030,RI2,NNA-AStar-Blind,blocked,0,0.0,,,,,,3.492999996524304
la_trinidad_mini_000031,RI2,NNA-AStar-Blind,blocked,0,0.0,,,,,,3.6780000082217157
la_trinidad_mini_000032,RI2,NNA-AStar-Blind,blocked,0,0.0,,,,,,2.4090000079013407
la_trinidad_mini_000033,RI2,NNA-AStar-Blind,blocked,0,0.0,,,,,,1.1486000148579478
la_trinidad_mini_000034,RI2,NNA-AStar-Blind,blocked,0,0.0,,,,,,3.1858999864198267
la_trinidad_mini_000035,RI2,NNA-AStar-Blind,,0,1.0,18.21073659119902,1677.3069016049947,4026.5029902005554,45.0,6181.57997093928,2.6364000514149666
la_trinidad_mini_000036,RI2,NNA-AStar-Blind,,0,1.0,17.69625723555291,1794.1629894489508,4185.165363247927,47.0,5870.733074374845,3.0933000380173326
la_trinidad_mini_000037,RI2,NNA-AStar-Blind,blocked,0,0.0,,,,,,3.457099955994636
la_trinidad_mini_000038,RI2,NNA-AStar-Blind,blocked,0,0.0,,,,,,3.381399961654097
la_trinidad_mini_000039,RI2,NNA-AStar-Blind,,0,1.0,24.539206384419206,2188.7024886322456,5337.700651026623,51.0,8373.79254747533,3.260199970100075
la_trinidad_mini_000040,RI3,NNA-AStar-Blind,,0,1.0,18.53345422946755,1627.3202503073665,3921.068749110206,41.0,5916.183672968606,2.607500005979091
la_trinidad_mini_000041,RI3,NNA-AStar-Blind,blocked,0,0.0,,,,,,3.6800000234507024
la_trinidad_mini_000042,RI3,NNA-AStar-Blind,,0,1.0,17.13749511338655,1418.9722297334763,3395.997892867801,39.0,5585.4364767553825,3.206100023817271
la_trinidad_mini_000043,RI3,NNA-AStar-Blind,,0,1.0,11.041503987319274,658.7781417731555,1560.2158634546513,38.0,3912.5312628833653,1.7460999661125243
la_trinidad_mini_000044,RI3,NNA-AStar-Blind,,0,1.0,23.793922674611128,2082.9540395284043,5009.13119833309,49.0,7607.851537543183,3.47880000481382
la_trinidad_mini_000045,RI3,NNA-AStar-Blind,,0,1.0,18.352376924837515,1487.39299712963,3649.7977101865586,41.0,5974.861337962663,2.9941999819129705
la_trinidad_mini_000046,RI3,NNA-AStar-Blind,,0,1.0,14.426882044855422,1085.829996445151,2501.1436597596257,38.0,4880.853039183741,2.7543000178411603
la_trinidad_mini_000047,RI3,NNA-AStar-Blind,,0,1.0,17.754883478730026,1319.0674621427831,3119.1032932516177,46.0,5986.273831834451,3.325900004711002
la_trinidad_mini_000048,RI3,NNA-AStar-Blind,,0,1.0,12.44650225889666,978.0937893636748,2400.3994054053283,29.0,4089.563757328416,1.8396000377833843
la_trinidad_mini_000049,RI3,NNA-AStar-Blind,,0,1.0,17.105738013959122,1482.442983131104,3520.0470376050816,47.0,5509.915137130087,2.1736000198870897
la_trinidad_mini_000050,RI3,NNA-AStar-Blind,,0,1.0,13.170802796027685,1116.2452514590536,2708.5789641822143,25.0,4243.301706220658,3.1610000296495855
la_trinidad_mini_000051,RI3,NNA-AStar-Blind,,0,1.0,13.343462984347575,1059.2883229741733,2484.9204221299683,36.0,4428.511557282734,2.0745000219903886
la_trinidad_mini_000052,RI3,NNA-AStar-Blind,blocked,0,0.0,,,,,,2.8783000307157636
la_trinidad_mini_000053,RI3,NNA-AStar-Blind,,0,1.0,14.470518894377424,1132.3936972281772,2769.213037414668,32.0,4765.36401140307,1.942700007930398
la_trinidad_mini_000054,RI3,NNA-AStar-Blind,,0,1.0,17.420236100877656,1408.393826748544,3358.8400831285567,47.0,5724.180301308725,2.197900030296296
la_trinidad_mini_000055,RI3,NNA-AStar-Blind,,0,1.0,7.530432339206082,500.8763686757913,1209.40412698169,27.0,2595.73168067174,1.857499999459833
